[2026-05-22 21:24:25,871] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:24:25,882] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:24:25,894] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:24:27,236] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:27:17,843] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:27:17,862] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:27:17,884] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:27:21,463] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:27:51,591] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:27:51,594] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:27:51,681] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:27:53,577] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:28:01,591] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:28:01,630] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:28:01,728] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:28:04,357] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:28:12,405] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:28:12,406] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:28:12,414] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:28:13,611] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:29:01,424] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:29:01,429] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:29:01,446] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:29:03,530] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:31:57,285] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:31:57,293] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:31:57,316] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:32:02,023] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:33:23,190] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:33:23,191] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:33:23,199] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:33:28,377] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:34:39,394] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:34:39,401] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:34:39,418] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:34:41,791] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:38:55,970] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:38:55,979] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:38:55,991] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:38:57,381] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:43:09,785] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-05-22 21:43:09,791] INFO in request_logger: OPTIONS | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-05-22 21:43:09,802] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
